metier;sexe;formation;usage_vehicule;type_vehicule;est_rouge;points_perdus;age_vehicule;type_conduite;date_demande;etat_dossier;formule;intervalle_revenus;presence_enfants;presence_enfant_conduite_accompagnée;Index
animateur du patrimoine;F;Bachelors;Commercial;Sports Car;no;0;7;Highly Urban/ Urban;25/02/2022 16:13;complet;dev_integral;(>100k€, 150k€);Oui;Non;1
préparateur en pharmacie;F;z_High School;Private;Minivan;no;2;1;Highly Urban/ Urban;24/05/2022 21:07;complet;dev_express;(>40k€, 60k€);Oui;Oui;2
électricien installateur installatrice;F;z_High School;Private;Pickup;no;0;4;z_Highly Rural/ Rural;24/01/2022 08:17;complet;dev_express;(>20k€, 40k€);Oui;Non;3
chargé de veille législative et réglementaire;F;<High School;Private;z_SUV;no;3;5;Highly Urban/ Urban;20/04/2022 03:46;complet;dev_integral;(0, 20k€);Non;Non;4
conseiller pénitentiaire d'insertion et de probation;M;Bachelors;Commercial;Panel Truck;no;2;12;Highly Urban/ Urban;23/03/2022 01:32;complet;dev_vip;(N/A - Missing Value);Non;Non;5
staffeur-ornemaniste;F;Bachelors;Private;z_SUV;no;2;15;z_Highly Rural/ Rural;23/03/2022 22:20;complet;dev_premium;(>60k€, 80k€);Oui;Non;6
technicien électrotechnicien électrotechnicienne;F;Bachelors;Commercial;Minivan;no;0;9;z_Highly Rural/ Rural;13/03/2022 01:10;complet;dev_express;(>100k€, 150k€);Oui;Oui;7
gestionnaire de patrimoine;M;Bachelors;Private;z_SUV;no;1;10;Highly Urban/ Urban;09/03/2022 03:43;complet;dev_premium;(>40k€, 60k€);Non;Non;8
officier de gendarmerie;M;PhD;Private;Minivan;no;0;14;Highly Urban/ Urban;29/01/2022 10:17;complet;dev_premium;(>100k€, 150k€);Non;Non;9
peintre en bâtiment;F;Bachelors;Commercial;Panel Truck;yes;1;10;Highly Urban/ Urban;26/03/2022 07:37;complet;dev_integral;(N/A - Missing Value);Non;Non;10
intégrateur web;F;Bachelors;Private;Minivan;no;0;10;Highly Urban/ Urban;26/05/2022 05:51;complet;dev_express;(>20k€, 40k€);Oui;Oui;11
coordonnateur d'études cliniques;M;z_High School;Private;z_SUV;no;0;1;Highly Urban/ Urban;27/01/2022 09:33;complet;dev_premium;(>20k€, 40k€);Oui;Non;12
chargé de clientèle banque;F;PhD;Private;z_SUV;no;0;18;Highly Urban/ Urban;08/05/2022 13:32;complet;dev_express;(>60k€, 80k€);Non;Non;13
audioprothésiste;M;z_High School;Commercial;Van;no;5;6;z_Highly Rural/ Rural;02/05/2022 08:44;complet;dev_integral;(0, 20k€);Non;Non;14
ingénieur opticien opticienne;M;z_High School;Private;Minivan;no;0;1;Highly Urban/ Urban;15/04/2022 13:09;complet;dev_integral;(>20k€, 40k€);Oui;Non;15
accompagnateur de tourisme équestre;M;Masters;Private;Minivan;no;0;13;Highly Urban/ Urban;11/05/2022 02:24;complet;dev_express;(>40k€, 60k€);Non;Non;16
conseiller en fusions-acquisitions;F;Masters;Private;z_SUV;no;0;15;Highly Urban/ Urban;12/04/2022 01:20;complet;dev_integral;(>100k€, 150k€);Non;Non;17
hydrogéologue;F;Bachelors;Commercial;Van;yes;1;8;Highly Urban/ Urban;04/03/2022 09:15;complet;dev_express;(>40k€, 60k€);Non;Non;18
toiletteur d'animaux;F;Bachelors;Private;Minivan;yes;0;11;Highly Urban/ Urban;05/02/2022 17:39;complet;dev_express;(>60k€, 80k€);Non;Non;19
charpentier métallique;F;Bachelors;Private;z_SUV;no;0;10;Highly Urban/ Urban;25/04/2022 14:43;complet;dev_integral;(>40k€, 60k€);Non;Non;20
anatomiste;M;Masters;Private;Minivan;no;0;16;z_Highly Rural/ Rural;20/03/2022 03:44;complet;dev_express;(>60k€, 80k€);Oui;Non;21
designer industriel industrielle;M;<High School;Private;Minivan;no;1;;Highly Urban/ Urban;27/03/2022 09:22;complet;dev_premium;(>20k€, 40k€);Oui;Oui;22
